DoctorID,Name,Specialization,Experience,Location,Rating
Doc137,Falguni Rai,Orthopedic,34,Mumbai,3.9
Doc138,Chanakya Wagle,Dermatologist,34,Lucknow,2.4
Doc139,Jai Sood,Orthopedic,4,Ahmedabad,1.8
Doc140,Riya Chanda,Pediatrician,16,Nagpur,2.6
Doc141,Vidhi Thakkar,Dermatologist,6,Nagpur,2.5
Doc142,Hitesh Kala,Cardiologist,19,Ludhiana,3.2
Doc143,Yauvani Pingle,Orthopedic,12,Mumbai,2.6
Doc144,Idika Manda,Orthopedic,16,Kanpur,2.0
Doc145,Varsha Viswanathan,Orthopedic,20,Bangalore,4.8
Doc146,Kashvi Madan,Cardiologist,32,Indore,1.4
Doc147,Isaac Cherian,Cardiologist,25,Bhopal,2.3
Doc148,Advay Apte,Neurologist,3,Delhi,2.5
Doc149,Lavanya Verma,Pediatrician,6,Surat,3.9
Doc150,Vrishti Murty,Pediatrician,37,Hyderabad,4.5
Doc151,Fiyaz Dalal,Orthopedic,14,Delhi,3.8
Doc152,Gopal Varma,Orthopedic,18,Surat,4.4
Doc153,Vedika Sarraf,Pediatrician,19,Patna,4.2
Doc154,Pallavi Purohit,Cardiologist,6,Patna,4.9
Doc155,Harshil De,Neurologist,7,Ahmedabad,4.1
Doc156,Mason Prabhu,Cardiologist,27,Indore,2.1
Doc157,Janya Seshadri,Dermatologist,37,Patna,3.6
Doc158,Yamini Mallick,Orthopedic,9,Indore,1.7
Doc159,Frederick Barad,Cardiologist,1,Indore,3.8
Doc160,Pahal Muni,Dermatologist,12,Agra,1.3
Doc161,Devansh More,Orthopedic,38,Ahmedabad,2.9
Doc162,Janani Gola,Neurologist,16,Patna,2.1
Doc163,Zilmil Date,Dermatologist,8,Kanpur,1.5
Doc164,Bhanumati Prasad,Neurologist,25,Nagpur,2.7
Doc165,Urvashi Memon,Pediatrician,21,Surat,1.0
Doc166,Warhi Dutt,Neurologist,21,Pune,2.7
Doc167,Faqid Dhaliwal,Neurologist,31,Mumbai,1.5
Doc168,Chavvi Chokshi,Dermatologist,2,Mumbai,4.5
Doc169,Yashasvi Zacharia,Cardiologist,19,Lucknow,2.3
Doc170,Ekalinga Kakar,Dermatologist,34,Hyderabad,3.0
Doc171,Nathaniel Sachdev,Cardiologist,13,Agra,3.4
Doc172,Banjeet Upadhyay,Orthopedic,18,Lucknow,4.0
Doc173,Ranveer Basak,Pediatrician,25,Bhopal,4.9
Doc174,Nakul Murty,Cardiologist,33,Bhopal,4.8
Doc175,Kai Sharaf,Orthopedic,28,Indore,2.4
Doc176,Janya Tak,Neurologist,4,Delhi,4.8
Doc177,Banjeet Chatterjee,Orthopedic,12,Ahmedabad,4.6
Doc178,Unnati Shanker,Pediatrician,5,Bhopal,3.4
Doc179,Anvi Yogi,Pediatrician,16,Jaipur,1.4
Doc180,Kamya Sibal,Cardiologist,15,Bangalore,1.6
Doc181,Gauri Behl,Dermatologist,39,Lucknow,2.8
Doc182,Nisha Badami,Dermatologist,3,Kolkata,1.3
Doc183,Maanas Apte,Pediatrician,5,Mumbai,1.7
Doc184,Tanmayi Ravel,Cardiologist,25,Ludhiana,2.4
Doc185,Chanchal Ram,Neurologist,16,Ludhiana,4.5
Doc186,Lakshit Chada,Orthopedic,2,Bhopal,3.4
Doc187,Bhavika Dewan,Cardiologist,8,Hyderabad,3.3
Doc188,Vaishnavi Deshpande,Orthopedic,26,Surat,4.1
Doc189,Gaurika Rege,Neurologist,32,Jaipur,1.2
Doc190,Bishakha Joshi,Orthopedic,30,Patna,3.4
Doc191,Chatresh Madan,Neurologist,36,Surat,2.4
Doc192,Reyansh Dutta,Orthopedic,29,Bhopal,1.1
Doc193,Bhavani Balay,Neurologist,11,Ahmedabad,4.0
Doc194,Bina Bhatti,Neurologist,31,Surat,3.7
Doc195,Vanya Dhar,Pediatrician,39,Kolkata,1.5
Doc196,Indali Butala,Pediatrician,33,Bhopal,2.4
Doc197,Netra Bava,Pediatrician,40,Nagpur,2.8
Doc198,Patrick Balasubramanian,Neurologist,31,Bhopal,1.2
Doc199,Matthew Comar,Pediatrician,24,Indore,1.2
Doc200,Yashawini Kota,Dermatologist,10,Kanpur,2.9
Doc201,Indali Mahajan,Dermatologist,15,Lucknow,2.4
Doc202,Balendra Tripathi,Cardiologist,7,Indore,3.9
Doc203,Omaja De,Neurologist,8,Agra,2.7
Doc204,Vivaan Murthy,Pediatrician,19,Mumbai,2.8
Doc205,Yug Sankaran,Dermatologist,38,Bangalore,2.8
Doc206,Lakshmi Mital,Orthopedic,5,Ahmedabad,2.4
Doc207,Chandresh Jhaveri,Neurologist,7,Agra,1.8
Doc208,Nidra Om,Pediatrician,12,Surat,1.3
Doc209,Devika Pillay,Dermatologist,34,Ludhiana,2.7
Doc210,Umang Pall,Neurologist,33,Bhopal,1.8
Doc211,Saksham Parmer,Pediatrician,19,Chennai,2.2
Doc212,Gagan Varghese,Cardiologist,10,Ludhiana,3.3
Doc213,Charvi Lal,Neurologist,9,Kolkata,1.6
Doc214,Diya Ganesh,Pediatrician,19,Agra,3.4
Doc215,Forum Bhatt,Pediatrician,33,Indore,1.4
Doc216,Yashica Samra,Orthopedic,6,Nagpur,4.4
Doc217,Pahal Raj,Pediatrician,7,Kanpur,1.1
Doc218,Abhiram Murty,Cardiologist,9,Ludhiana,3.8
Doc219,Ayaan Sankaran,Orthopedic,28,Chennai,2.0
Doc220,Sudiksha Pradhan,Cardiologist,15,Mumbai,1.2
Doc221,Eshana Prasad,Orthopedic,4,Patna,3.4
Doc222,Bhavya Gokhale,Orthopedic,4,Kanpur,1.6
Doc223,Falan Kata,Dermatologist,38,Kolkata,4.1
Doc224,Chanakya Kar,Orthopedic,8,Hyderabad,2.4
Doc225,Chameli Gade,Neurologist,2,Bangalore,1.8
Doc226,Manthan Srinivas,Neurologist,32,Bangalore,3.1
Doc227,Vincent Kakar,Neurologist,29,Bangalore,3.3
Doc228,Odika Rana,Neurologist,30,Mumbai,1.4
Doc229,Ikbal Karnik,Cardiologist,33,Nagpur,2.9
Doc230,Bhanumati Dugar,Orthopedic,25,Chennai,3.0
Doc231,Mitesh Seth,Dermatologist,27,Bhopal,4.9
Doc232,Saumya Sachdev,Pediatrician,33,Nagpur,2.5
Doc233,Unnati Chopra,Pediatrician,3,Lucknow,4.8
Doc234,Madhav Raval,Orthopedic,32,Jaipur,2.5
Doc235,Victor Lad,Dermatologist,20,Ahmedabad,2.4
Doc236,Urishilla Dube,Orthopedic,8,Nagpur,1.3
Doc237,Indali Baria,Cardiologist,18,Ludhiana,4.0
Doc238,Nitara Thaker,Orthopedic,39,Hyderabad,2.5
Doc239,Yatan Agarwal,Pediatrician,29,Agra,2.4
Doc240,Ekalinga Shenoy,Neurologist,24,Pune,2.9
Doc241,Krish Sagar,Orthopedic,33,Patna,1.1
Doc242,Yashawini Krish,Cardiologist,1,Delhi,1.2
Doc243,Aahana Khalsa,Dermatologist,30,Patna,4.1
Doc244,Urishilla Korpal,Orthopedic,4,Chennai,3.8
Doc245,Janaki Dubey,Neurologist,22,Hyderabad,4.3
Doc246,Mekhala Swamy,Neurologist,15,Pune,4.0
Doc247,Finn Walla,Orthopedic,3,Nagpur,3.9
Doc248,Hemani Goel,Cardiologist,33,Bhopal,3.5
Doc249,Upkaar Bhavsar,Neurologist,36,Pune,2.7
Doc250,Hritik Dara,Dermatologist,31,Jaipur,2.2
Doc251,Warinder Tandon,Cardiologist,2,Mumbai,3.2
Doc252,Yatin Lad,Pediatrician,32,Kolkata,3.2
Doc253,Abha Bansal,Pediatrician,34,Agra,4.6
Doc254,Daniel Vyas,Neurologist,14,Ludhiana,3.8
Doc255,Avi Mohanty,Orthopedic,15,Ludhiana,5.0
Doc256,Yauvani Banerjee,Orthopedic,24,Surat,3.5
Doc257,Rohan Gopal,Pediatrician,16,Mumbai,2.2
Doc258,Jack Chandran,Cardiologist,20,Delhi,2.5
Doc259,Girish Tella,Pediatrician,25,Surat,2.7
Doc260,Vanya Sharma,Pediatrician,19,Pune,2.5
Doc261,Kamala Mannan,Orthopedic,10,Lucknow,4.4
Doc262,Tanish Kaur,Dermatologist,38,Pune,3.5
Doc263,Imaran Narasimhan,Cardiologist,1,Pune,3.8
Doc264,Faris Dyal,Neurologist,32,Agra,3.3
Doc265,Arya Pal,Pediatrician,17,Pune,2.5
Doc266,Gunbir Raval,Orthopedic,8,Bhopal,1.7
Doc267,Jai Bhatt,Neurologist,29,Ludhiana,1.3
Doc268,Zaitra Mahal,Cardiologist,6,Ahmedabad,1.4
Doc269,Vanya Parmar,Pediatrician,19,Hyderabad,1.2
Doc270,Rachit Nayar,Orthopedic,25,Bangalore,2.2
Doc271,Sai Gaba,Neurologist,28,Bhopal,3.3
Doc272,Simon Gokhale,Dermatologist,11,Delhi,3.3
Doc273,Nilima Yohannan,Neurologist,14,Kolkata,1.4
Doc274,Chaitaly Sastry,Cardiologist,5,Kolkata,4.2
Doc275,Balveer Deshmukh,Pediatrician,22,Nagpur,4.2
Doc276,Bina Dube,Pediatrician,36,Hyderabad,1.1
Doc277,Arya Mital,Orthopedic,10,Patna,1.2
Doc278,Bishakha Chakraborty,Cardiologist,13,Agra,4.9
Doc279,Shravya Morar,Neurologist,40,Indore,4.1
Doc280,Nachiket Patla,Cardiologist,6,Hyderabad,2.2
Doc281,Victor Behl,Cardiologist,29,Chennai,3.5
Doc282,Indira Kadakia,Cardiologist,30,Kanpur,4.4
Doc283,Anvi Baria,Neurologist,38,Jaipur,3.5
Doc284,Amaira Dhaliwal,Pediatrician,24,Kanpur,1.9
Doc285,Nihal Thaker,Cardiologist,24,Nagpur,2.6
Doc286,Warda Chadha,Orthopedic,19,Delhi,1.6
Doc287,Qushi Nayak,Cardiologist,22,Lucknow,1.2
Doc288,Abeer Baral,Dermatologist,24,Kanpur,3.4
Doc289,Vinaya Bhargava,Neurologist,2,Delhi,2.2
Doc290,Maanas Acharya,Dermatologist,16,Ludhiana,2.8
Doc291,Damyanti Shankar,Cardiologist,1,Delhi,1.9
Doc292,Balhaar Singhal,Cardiologist,28,Delhi,3.1
Doc293,Rachita Konda,Orthopedic,39,Ahmedabad,1.3
Doc294,Daniel Mannan,Orthopedic,32,Bangalore,3.5
Doc295,Yatin Comar,Pediatrician,19,Hyderabad,1.1
Doc296,Wishi Sarna,Orthopedic,16,Jaipur,4.8
Doc297,Vasudha Pillay,Pediatrician,31,Ahmedabad,2.7
Doc298,Tanay Narayan,Pediatrician,25,Hyderabad,1.7
Doc299,Indira Bansal,Orthopedic,10,Nagpur,2.5
Doc300,Karan Kothari,Cardiologist,20,Hyderabad,1.7
